Date,PKR,USD
2011-02-18,85.476609,1.0
2011-02-19,85.476609,1.0
2011-02-20,85.476609,1.0
2011-02-21,85.528283,1.0
2011-02-22,85.534592,1.0
2011-02-23,85.236545,1.0
2011-02-24,85.445717,1.0
2011-02-25,85.661379,1.0
2011-02-26,85.661379,1.0
2011-02-27,85.661379,1.0
2011-02-28,85.749724,1.0
2011-03-01,85.523193,1.0
2011-03-02,85.665592,1.0
2011-03-03,85.654034,1.0
2011-03-04,85.501265,1.0
2011-03-05,85.501265,1.0
2011-03-06,85.501265,1.0
2011-03-07,85.350637,1.0
2011-03-08,85.114337,1.0
2011-03-09,85.413715,1.0
2011-03-10,85.299645,1.0
2011-03-11,85.152673,1.0
2011-03-12,85.152673,1.0
2011-03-13,85.152673,1.0
2011-03-14,85.559367,1.0
2011-03-15,85.537042,1.0
2011-03-16,85.436047,1.0
2011-03-17,85.378783,1.0
2011-03-18,85.446648,1.0
2011-03-19,85.446648,1.0
2011-03-20,85.446648,1.0
2011-03-21,85.446648,1.0
2011-03-22,85.361716,1.0
2011-03-23,85.28769,1.0
2011-03-24,85.200004,1.0
2011-03-25,84.906365,1.0
2011-03-26,84.906365,1.0
2011-03-27,84.906365,1.0
2011-03-28,85.394495,1.0
2011-03-29,85.355462,1.0
2011-03-30,85.158032,1.0
2011-03-31,85.355125,1.0
2011-04-01,85.37057,1.0
2011-04-02,85.37057,1.0
2011-04-03,85.37057,1.0
2011-04-04,85.198451,1.0
2011-04-05,85.337108,1.0
2011-04-06,85.170859,1.0
2011-04-07,84.850971,1.0
2011-04-08,84.938856,1.0
2011-04-09,84.938856,1.0
2011-04-10,84.938856,1.0
2011-04-11,84.7031,1.0
2011-04-12,84.522464,1.0
2011-04-13,84.281338,1.0
2011-04-14,84.253447,1.0
2011-04-15,84.271766,1.0
2011-04-16,84.271766,1.0
2011-04-17,84.271766,1.0
2011-04-18,84.344644,1.0
2011-04-19,84.562951,1.0
2011-04-20,84.623329,1.0
2011-04-21,84.438977,1.0
2011-04-22,84.438977,1.0
2011-04-23,84.438977,1.0
2011-04-24,84.438977,1.0
2011-04-25,84.528257,1.0
2011-04-26,84.695402,1.0
2011-04-27,84.388572,1.0
2011-04-28,84.813639,1.0
2011-04-29,84.807918,1.0
2011-04-30,84.807918,1.0
2011-05-01,84.807918,1.0
2011-05-02,84.633761,1.0
2011-05-03,84.382518,1.0
2011-05-04,84.751233,1.0
2011-05-05,84.552167,1.0
2011-05-06,84.707845,1.0
2011-05-07,84.707845,1.0
2011-05-08,84.707845,1.0
2011-05-09,84.713717,1.0
2011-05-10,84.858134,1.0
2011-05-11,85.012447,1.0
2011-05-12,84.940653,1.0
2011-05-13,85.19555,1.0
2011-05-14,85.19555,1.0
2011-05-15,85.19555,1.0
2011-05-16,85.429751,1.0
2011-05-17,85.432301,1.0
2011-05-18,85.589663,1.0
2011-05-19,85.851387,1.0
2011-05-20,86.220425,1.0
2011-05-21,86.220425,1.0
2011-05-22,86.220425,1.0
2011-05-23,85.807048,1.0
2011-05-24,85.656329,1.0
2011-05-25,85.696066,1.0
2011-05-26,85.586739,1.0
2011-05-27,85.683092,1.0
2011-05-28,85.683092,1.0
2011-05-29,85.683092,1.0
2011-05-30,85.758456,1.0
2011-05-31,86.002092,1.0
2011-06-01,86.035026,1.0
2011-06-02,85.987467,1.0
2011-06-03,85.96585,1.0
2011-06-04,85.96585,1.0
2011-06-05,85.96585,1.0
2011-06-06,86.003229,1.0
2011-06-07,86.051839,1.0
2011-06-08,85.904631,1.0
2011-06-09,85.682056,1.0
2011-06-10,85.765087,1.0
2011-06-11,85.765087,1.0
2011-06-12,85.765087,1.0
2011-06-13,85.738273,1.0
2011-06-14,85.75695,1.0
2011-06-15,85.861977,1.0
2011-06-16,85.916999,1.0
2011-06-17,85.901599,1.0
2011-06-18,85.901599,1.0
2011-06-19,85.901599,1.0
2011-06-20,85.814617,1.0
2011-06-21,85.710117,1.0
2011-06-22,85.650215,1.0
2011-06-23,85.794605,1.0
2011-06-24,85.925944,1.0
2011-06-25,85.925944,1.0
2011-06-26,85.925944,1.0
2011-06-27,85.989764,1.0
2011-06-28,86.113751,1.0
2011-06-29,86.109876,1.0
2011-06-30,86.056423,1.0
2011-07-01,86.016811,1.0
2011-07-02,86.016811,1.0
2011-07-03,86.016811,1.0
2011-07-04,85.976759,1.0
2011-07-05,85.965153,1.0
2011-07-06,85.476102,1.0
2011-07-07,85.746068,1.0
2011-07-08,85.978073,1.0
2011-07-09,85.978073,1.0
2011-07-10,85.978073,1.0
2011-07-11,85.953329,1.0
2011-07-12,85.768522,1.0
2011-07-13,85.917462,1.0
2011-07-14,86.009223,1.0
2011-07-15,86.087118,1.0
2011-07-16,86.087118,1.0
2011-07-17,86.087118,1.0
2011-07-18,86.179105,1.0
2011-07-19,86.268694,1.0
2011-07-20,86.293734,1.0
2011-07-21,86.158462,1.0
2011-07-22,86.218179,1.0
2011-07-23,86.218179,1.0
2011-07-24,86.218179,1.0
2011-07-25,86.275732,1.0
2011-07-26,86.396885,1.0
2011-07-27,86.701203,1.0
2011-07-28,86.568402,1.0
2011-07-29,86.61457,1.0
2011-07-30,86.61457,1.0
2011-07-31,86.61457,1.0
2011-08-01,86.712345,1.0
2011-08-02,86.671527,1.0
2011-08-03,86.566522,1.0
2011-08-04,86.640126,1.0
2011-08-05,86.302746,1.0
2011-08-06,86.302746,1.0
2011-08-07,86.302746,1.0
2011-08-08,86.501404,1.0
2011-08-09,86.363289,1.0
2011-08-10,86.366119,1.0
2011-08-11,86.400089,1.0
2011-08-12,86.353583,1.0
2011-08-13,86.353583,1.0
2011-08-14,86.353583,1.0
2011-08-15,86.229857,1.0
2011-08-16,86.536493,1.0
2011-08-17,86.737195,1.0
2011-08-18,86.626357,1.0
2011-08-19,86.918209,1.0
2011-08-20,86.918209,1.0
2011-08-21,86.918209,1.0
2011-08-22,87.0951,1.0
2011-08-23,86.957772,1.0
2011-08-24,86.758172,1.0
2011-08-25,86.829283,1.0
2011-08-26,86.943095,1.0
2011-08-27,86.943095,1.0
2011-08-28,86.943095,1.0
2011-08-29,87.439198,1.0
2011-08-30,87.0304,1.0
2011-08-31,87.067436,1.0
2011-09-01,87.306192,1.0
2011-09-02,87.323584,1.0
2011-09-03,87.323584,1.0
2011-09-04,87.323584,1.0
2011-09-05,87.259585,1.0
2011-09-06,87.455647,1.0
2011-09-07,87.320818,1.0
2011-09-08,87.527038,1.0
2011-09-09,87.485347,1.0
2011-09-10,87.485347,1.0
2011-09-11,87.485347,1.0
2011-09-12,87.493551,1.0
2011-09-13,87.537916,1.0
